Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Donte Johnson (42174377),Donte Johnson,42174377,F,9500,Brundage@Johnson 03/07/2026 07:40PM ET,Johnson,96.12
F,JeongYeong Lee (42174380),JeongYeong Lee,42174380,F,9300,Bolanos@Lee 03/07/2026 05:10PM ET,Lee,39.82
F,Caio Borralho (42160385),Caio Borralho,42160385,F,9200,de Ridder@Borralho 03/07/2026 10:00PM ET,Borralho,80.40
F,Su Sumudaerji (42160390),Su Sumudaerji,42160390,F,9100,Aguilar@Sumudaerji 03/07/2026 05:30PM ET,Sumudaerji,53.42
F,Rafael Tobias (42174375),Rafael Tobias,42174375,F,9000,Nurgozhay@Tobias 03/07/2026 05:20PM ET,Tobias,0
F,Luke Fernandez (42160392),Luke Fernandez,42160392,F,8900,Bellato@Fernandez 03/07/2026 05:00PM ET,Fernandez,0
F,Max Holloway (42160384),Max Holloway,42160384,F,8800,Oliveira@Holloway 03/07/2026 10:20PM ET,Holloway,88.29
F,Raul Rosas Jr. (42160396),Raul Rosas Jr.,42160396,F,8700,Rosas Jr.@Font 03/07/2026 09:40PM ET,Rosas Jr.,89.62
F,Gregory Rodrigues (42160393),Gregory Rodrigues,42160393,F,8600,Ferreira@Rodrigues 03/07/2026 09:00PM ET,Rodrigues,83.63
F,Alberto Montes (42160399),Alberto Montes,42160399,F,8500,Montes@Turcios 03/07/2026 07:20PM ET,Montes,0
F,Nyamjargal Tumendemberel (42160398),Nyamjargal Tumendemberel,42160398,F,8400,Tumendemberel@Durden 03/07/2026 07:00PM ET,Tumendemberel,26.25
F,Xiao Long (42160388),Xiao Long,42160388,F,8300,Long@Garbrandt 03/07/2026 08:00PM ET,Long,61.32
F,Michael Johnson (42160401),Michael Johnson,42160401,F,8200,Johnson@Dober 03/07/2026 09:20PM ET,Johnson,53.66
F,Drew Dober (42160402),Drew Dober,42160402,F,8000,Johnson@Dober 03/07/2026 09:20PM ET,Dober,60.68
F,Cody Garbrandt (42160387),Cody Garbrandt,42160387,F,7900,Long@Garbrandt 03/07/2026 08:00PM ET,Garbrandt,60.45
F,Cody Durden (42160397),Cody Durden,42160397,F,7800,Tumendemberel@Durden 03/07/2026 07:00PM ET,Durden,56.72
F,Ricky Turcios (42160400),Ricky Turcios,42160400,F,7700,Montes@Turcios 03/07/2026 07:20PM ET,Turcios,61.38
F,Brunno Ferreira (42160394),Brunno Ferreira,42160394,F,7600,Ferreira@Rodrigues 03/07/2026 09:00PM ET,Ferreira,76.94
F,Rob Font (42160395),Rob Font,42160395,F,7500,Rosas Jr.@Font 03/07/2026 09:40PM ET,Font,74.76
F,Charles Oliveira (42160383),Charles Oliveira,42160383,F,7400,Oliveira@Holloway 03/07/2026 10:20PM ET,Oliveira,70.79
F,Rodolfo Bellato (42160391),Rodolfo Bellato,42160391,F,7300,Bellato@Fernandez 03/07/2026 05:00PM ET,Bellato,51.42
F,Diyar Nurgozhay (42174376),Diyar Nurgozhay,42174376,F,7200,Nurgozhay@Tobias 03/07/2026 05:20PM ET,Nurgozhay,14.20
F,Jesus Aguilar (42160389),Jesus Aguilar,42160389,F,7100,Aguilar@Sumudaerji 03/07/2026 05:30PM ET,Aguilar,62.84
F,Reinier de Ridder (42160386),Reinier de Ridder,42160386,F,7000,de Ridder@Borralho 03/07/2026 10:00PM ET,de Ridder,96.08
F,Gaston Bolanos (42174379),Gaston Bolanos,42174379,F,6900,Bolanos@Lee 03/07/2026 05:10PM ET,Bolanos,39.47
F,Cody Brundage (42174378),Cody Brundage,42174378,F,6700,Brundage@Johnson 03/07/2026 07:40PM ET,Brundage,49.71
